impianto_id,tipo,zona,ots_giornalieri,ots_totali,reach_univoco,frequency_media,grp,copertura_pct,ic_low_95,ic_high_95,pct_18_34,avvisi
BB-001,billboard,centro,29187,408612,28032,14.58,1457.2,99.97,27990,28040,0.32989690721649484,target=18_34
BB-002,billboard,periferia,8887,124417,25176,4.94,453.4,91.74,23142,26328,0.22869022869022868,target=18_34
PEN-001,pensilina,centro,38605,540474,31311,17.26,1725.4,99.96,31254,31322,0.3685220729366603,target=18_34
PEN-002,pensilina,stazione,90305,1264264,19908,63.51,6350.6,100.0,19908,19908,0.4976958525345623,target=18_34 | ⚠ Frequency alta (63.5x)
MTR-001,metro,stazione,119374,1671241,22594,73.97,7396.8,100.0,22594,22594,0.5648535564853556,target=18_34 | ⚠ Frequency alta (74.0x)
DOH-001,dooh,commerciale,45936,643104,14801,43.45,4345.1,100.0,14801,14801,0.49335863377609107,target=18_34 | ⚠ Frequency alta (43.5x)
