idCampagna;impianto_id;tipo_originale;tipo_modello;zona_istat;lat;lon;formato;giorni;ots_giornalieri;ots_totali;reach_univoco;ic_low_95;ic_high_95;frequency_media;grp;copertura_pct;pct_18_34;pct_35_54;pct_55plus;avvisi
1;22151;POSTER;billboard;058091;41,93;12,48;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22152;POSTER;billboard;058091;41,93;12,47;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22153;POSTER;billboard;058091;41,93;12,48;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22154;POSTER;billboard;058091;41,93;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22155;POSTER;billboard;058091;41,93;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22156;POSTER;billboard;058091;41,94;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22157;POSTER;billboard;058091;41,94;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22158;POSTER;billboard;058091;41,94;12,47;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22159;POSTER;billboard;058091;41,94;12,47;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22160;POSTER;billboard;058091;41,94;12,52;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22161;POSTER;billboard;058091;41,94;12,52;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22162;POSTER;billboard;058091;41,95;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
